Published Date,Titles,Likes,Views,Urls
2024-04-29,The 7 Best Pieces of Startup Business Advice I've Ever Been Given,37,1177,https://www.youtube.com/watch?v=2mqZN20RVcQ
2024-04-24,Scaling a Successful SaaS Sales Team: Harry Stebbings and Jason Lemkin,6,286,https://www.youtube.com/watch?v=OhBzs0U3J08
2024-04-20,5 Interesting Learnings From DropBox at $2.5 Billion in ARR,5,262,https://www.youtube.com/watch?v=rPBnHA1De-E
2024-04-08,How To Succeed As a First Time VP of Sales -- Updated,20,567,https://www.youtube.com/watch?v=9ZIkWvDI4ms
2024-04-03,Snowflake at $3 Billion in Revenue!!  The 5 Top Learnings,8,74,https://www.youtube.com/watch?v=ocQ4l5x-rPo
2024-04-03,HubSpot: 5 Interesting Learnings at $2.4 Billion in ARR,10,318,https://www.youtube.com/watch?v=rmQF4nC3IkM
2024-03-31,Why Board Meetings Actually Matter:  Harry Stebbings + Jason Lemkin,6,338,https://www.youtube.com/watch?v=XNxEZGOBKBU
2024-03-25,"The Odds of Raising a Series A, The Latest in Venture Valuations, The AI Premium and More!",15,610,https://www.youtube.com/watch?v=ei4tvYX3rIk
2024-03-20,How To Take Care Of Yourself as a Founder,15,439,https://www.youtube.com/watch?v=biEOJGk5oUY
2024-03-15,Growth Slowed?  Try Micro-Milestones To Push Through Tougher Times,5,131,https://www.youtube.com/watch?v=BApFnh4h0E4
2024-03-12,10 Signs You Shouldn’t Hire a Sales Rep (or VP of Sales) Candidate:  A Checklist,20,659,https://www.youtube.com/watch?v=WO8A1gHPhZ8
2024-03-08,Earn Your Price Increase: How to Add Value to Your Product,6,150,https://www.youtube.com/watch?v=hgKZD0Zer3o
2024-03-04,How to Structure Sales Rep Compensation for Success,12,243,https://www.youtube.com/watch?v=zkAFP8fyveo
2024-02-13,How to Make Sure You Hire the Right VP of Sales!,5,243,https://www.youtube.com/watch?v=hPcBpbwcmwU
2024-02-06,Only 15% of Founders Listen to their VCs   Jason Lemkin @20VC Harry Stebbings,4,133,https://www.youtube.com/watch?v=jfDmcVeXf4o
2023-07-18,The 5 Best Pieces of Advice I Ever Got From My Mentors,48,1463,https://www.youtube.com/watch?v=IV7IVyU1ahU
2023-07-13,MongoDB at $1.5 BILLION in Revenues!! An Epic Growth Story,46,1640,https://www.youtube.com/watch?v=C0u8SaLIFCw
2023-05-16,HubSpot at $2 BILLION in ARR!!  5 Interesting Learnings,21,3871,https://www.youtube.com/watch?v=DajwHUxPmts
2023-05-09,The 9 Types of CEOs That Are Just So Hard for VCs To Work With,29,986,https://www.youtube.com/watch?v=edPw60dHU5I
2023-05-01,The Very Latest on What's Going on in Venture Capital Right Now (from DisruptTV),16,3068,https://www.youtube.com/watch?v=XhOffVTVzsY
2023-04-17,"Asana at $600,000,000 in Revenue!!  Growing 34%!!",18,967,https://www.youtube.com/watch?v=lAqwZggzEf8
2023-03-29,10 Things That Always Work in Marketing,58,3782,https://www.youtube.com/watch?v=ScyT4B80bWA
2023-02-02,Seed is Still A Good Place to Be in Venture.  It's Just ... Where Will The Next Check Come From?,6,193,https://www.youtube.com/watch?v=A7cfP3uMNTU
2023-01-24,VCs are Looking for It All in 2023,4,208,https://www.youtube.com/watch?v=QBEOXnPXD9U
2023-01-23,2023 Predictions for Venture Capital!!  Harry Stebbings + Jason Lemkin,0,208,https://www.youtube.com/watch?v=ri6v_haWBYs
2023-01-17,How To Hire First Your First Few Great Sales Reps!  A 6 Point Test,116,5781,https://www.youtube.com/watch?v=Tav9JkaGdFU
2022-12-16,"Where VC is Going in 2023, and SaaStr Fund",10,954,https://www.youtube.com/watch?v=MrW-D5c4xyE
